上市公司代码()_ComCd,最新公司全称_LComNm,最新公司英文名称_LComNm_eng,A股股票简称_A_LStkNm,A股股票代码_A_StkCd,主营业务_MainBusiness,证监会行业门类名称_CsrcIcNm1,省份与直辖市名称_Prov
C600446,深圳市金证科技股份有限公司,"Shenzhen Kingdom Technology Co.,ltd",金证股份,600446,"    计算机应用系统及配套设备的技术开发、生产(生产项目另行申报)、销售;电子产品、通讯器材、机械设备的购销及国内商业,物资供销业(不含专营、专控、专卖商品及限制项目)。进出口业务(具体按深贸管准证字第2003-2435号文执行)。建筑智能化工程专业(凭《建筑业企业资质证书》经营)。专业音响、灯光、多媒体显示、会议公共广播设备、闭路监控设备的购销与安装;房屋租赁;机动车辆停放服务;室内外清洁。
",信息技术业,深圳市
C600448,华纺股份有限公司,Huafang Limited Company,华纺股份,600448,前置许可经营项目：热力的生产、销售；电力的生产、销售；一般经营项目：棉、化纤纺织及印染精加工，棉及化纤制品、服装、服饰的生产、加工、销售；棉花收购、销售；新产品的技术开发、技术咨询服务及技术转让；机电设备的销售；仓储；进出口业务；煤渣与煤灰的销售，混凝土砌块及粉煤灰砖的生产与销售（须经审批的，未获批准前不得经营）。,制造业,山东
C600449,宁夏建材集团股份有限公司,"Ningxia Building Materials Group Co.,Ltd",宁夏建材,600449,"水泥制造、销售；水泥制品、水泥熟料、、精细石膏制造与销售；混凝土骨料的制造与销售；水泥用石灰岩露天开采；房屋租赁、设备租赁、自有土地租赁；与经营相关的咨询、服务。""",制造业,宁夏
C600452,重庆涪陵电力实业股份有限公司,"Chongqing Fuling Electric Power Industrial Co., ltd.",涪陵电力,600452,电力供应、销售，电力资源开发及信息咨询服务，商贸信息咨询服务（不含国家有专项管理规定的项目）；从事承装（修、试）电力设施业务，承装三级、承修三级、承试三级；承包110千伏及以下电压等级的送电线路工程和变电站建筑、安装工程的施工；销售输配电及控制设备、电工器材、机械配件、建筑材料（不含危险品）、五金、粘合剂（不含危险品）。,电力、煤气及水的生产和供应业,重庆
C600460,杭州士兰微电子股份有限公司,"Hangzhou Silan Microelectronics Co., ltd.",士兰微,600460,电子元器件、电子零部件及其他电子产品设计、制造、销售；机电产品进出口。,制造业,浙江
C600461,江西洪城水业股份有限公司,"Jiangxi Hongcheng Waterworks Co., ltd.",洪城水业,600461,    自来水、纯净水、水质净化剂、水表、给排水设备、节水设备、仪器仪表、环保设备的生产、销售，给排水设施的安装、修理；给排水工程设计、安装、技术咨询及培训，软件应用服务，水质检测、水表计量检测、电子计量器具的研制及销售、城市污水处理；信息技术。,电力、煤气及水的生产和供应业,江西
C600462,延边石岘白麓纸业股份有限公司,"Yanbian Shixian Bailu Papermaking Co.,Ltd.",石岘纸业,600462,"新闻纸、胶版纸、商品木浆、箱板纸、茶板纸、复印纸、卫生纸、少数民族文字印刷品（凭相关批件开展经营）、粘合剂、酵母、无铬木素、铬木素、铁铬盐等木素磺酸盐系列产品，造纸助剂、化工助剂等化工产品（不含危险化学品和监控化学品）；经营本企业自产产品及相关技术的出口业务（国家限定公司经营或禁止出口的商品除外）；经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务（国家限定公司经营或禁止进口的商品除外）、经营本企业的进料加工和""三来一补""业务；木质素复合肥销售及其它服务。",制造业,吉林省
C600463,北京空港科技园区股份有限公司,"Beijing Airport High-Tech Park Co.,Ltd.",空港股份,600463,高新技术的开发、转让和咨询；销售开发后的产品；土地开发，仓储，物业管理，经济信息咨询。,房地产业,北京
C600466,四川迪康科技药业股份有限公司,"Sichuan Dikang Sci&tech Pharmaceutical Industry Co.,Ltd.",迪康药业,600466,日化用品、化工用品、原料药、中成药、中药材、中药饮片、中药和天然药物制剂、西药制剂、化学药制剂、抗生素制剂、生化药品制剂、化学原料药、抗生素原料药、生物制品、生物材料、医疗包装制品加工、医用高分子材料、医疗器械、保健用品、消毒用品的研发、生产加工及批发零售、进出口业务、技术咨询服务和技术转让（以上经营项目不含法律、法规和国务院决定需要前置审批或许可的合法项目）；农副产品的收购、加工与销售（不含粮、油、生丝、蚕茧）；投资及投资管理、企业策划、咨询服务（不含金融、证券、期货业务）；租赁服务（国家有专,制造业,四川
C600467,山东好当家海洋发展股份有限公司,"Shandong Homey Aquatic Development Co.,Ltd.",好当家,600467,海水养殖；许可范围内水产加工品、速冻食品、饮料的加工、销售；货物专用运输（限分支机构经营）；资格证书范围内的进出口业务；生物技术研究开发,农、林、牧、渔业,山东
C600468,天津百利特精电气股份有限公司,"Tianjin Benefo Tejing Electric Co.,Ltd.",百利电气,600468,输配电及控制设备、超导限流器、智能电网电气设备、高低压电器成套设备、传动控制装置、照明配电箱、高低压电器元件、电器设备元件、变压器、互感器、泵、电梯制造、销售、维修及技术开发、咨询服务、转让；电缆、机械设备、工程机械设备销售及安装维修；电子产品、计算机、仪器仪表、电讯器材批发兼零售；钢材、金属材料及制品、铁精粉、铁矿石、五金、交电销售；普通货运；进出口业务；液压、气动元件、机床设备、铸件、机械零件、刀具、模具、矿产品加工、制造（以上范围内国家有专营专项规定的按规定办理）。（经营范围以工商核准为准,制造业,天津
